id,name,username,phone_number,otp_id,role,password_hash,salt,email,dob,created_at,updated_at,active
1,root,root,null,null,admin,5fbc88b1cac2774a89826ad9b5ebb781b3c778268d5544c3,KNvAd2te@zSjLJz7,true,null,null,null,null
2,customer,customer,null,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,null,null,null,null
3,customer2,customer2,null,null,customer,bed4d5b8fcae87bc4a19186af2d30f9b75ba5de23569963a,SouwrY9@@C$xfi#!,true,null,null,null,null
4,john_doe,johndoe,+1234567890,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,john@email.com,1990-05-15,2024-01-15,2024-01-15
5,jane_smith,janesmith,+1987654321,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,jane@email.com,1985-08-22,2024-01-20,2024-01-20
6,mike_wilson,mikewilson,+1555123456,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,mike@email.com,1992-12-03,2024-02-01,2024-02-01
7,sarah_jones,sarahjones,+1444987654,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,sarah@email.com,1988-03-17,2024-02-05,2024-02-05
8,david_brown,davidbrown,+1333567890,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,david@email.com,1995-07-11,2024-02-10,2024-02-10
9,lisa_davis,lisadavis,+1222345678,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,lisa@email.com,1991-11-28,2024-02-15,2024-02-15
10,robert_miller,robertmiller,+1111876543,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,robert@email.com,1987-09-14,2024-02-20,2024-02-20
11,emily_garcia,emilygarcia,+1666234567,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,emily@email.com,1993-04-06,2024-02-25,2024-02-25
12,chris_martinez,chrismartinez,+1777654321,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,chris@email.com,1989-10-19,2024-03-01,2024-03-01
13,amanda_lopez,amandalopez,+1888123456,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,amanda@email.com,1994-01-25,2024-03-05,2024-03-05
14,kevin_white,kevinwhite,+1999987654,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,kevin@email.com,1986-06-12,2024-03-10,2024-03-10
15,michelle_taylor,michelletaylor,+1000567890,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,michelle@email.com,1990-12-08,2024-03-15,2024-03-15
16,brian_anderson,briananderson,+1123498765,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,brian@email.com,1992-08-30,2024-03-20,2024-03-20
17,jessica_thomas,jessicathomas,+1234567891,null,customer,44b483f5f82bbb928f3cc2bf71b2778918d0b63f9a5f6f4d,G1euhf597v8s3dHh,true,jessica@email.com,1988-02-14,2024-03-25,2024-03-25
18,john_wicky,johnny,null,null,customer,f10bfd411c6b8a17f8a9c79cd2a362f8cbbc9aee794e329b,5FphtE6FiXyS#Lx%,true,null,null,2025-06-09 12:42:16,2025-06-09 12:42:16
19,nguyen_dang,nguyendang,null,null,customer,f6413698eb09c424cdd85dc490a6dfc365b65f01ad9bfabb,3RH4*R%$mbui*QyG,true,null,null,2025-06-09 18:35:47,2025-06-09 18:35:47
20,super_user,sudo,null,null,admin,7a4e1a9a9dda4ce454e81b28ccf154832e870b0da7be1281,C1DUGtdAxqe3J5vz,true,null,null,2025-06-09 19:05:27,2025-06-09 19:05:27
21,micheal_phil,customer3,null,null,customer,847e2a4e056e2d3830f0686754e7835f7f9c8de74d4cdaed,h3Gx^X3a*!7HaYq5,true,null,null,2025-06-09 19:05:48,2025-06-09 19:05:48
